 6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  1|  6|  4|  1|  7|  1|  4|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  2-
 4|  4|  1|  4|  4|  4|  1|  4|  4|  4|  4|  1|  1|  1|  1|  7|  1|  9|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  3-
 7|  8|  1|  7|  9|  4|  1|  2|  1|  1|  6|  1|  1|  1|  7|  8|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  2|  1-
 R|  4|  1|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  8|  1|  1|  1|  4|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  6-
 3|  4|  1|  4|  2|  4|  1|  4|  4|  1|  4|  1|  1|  1|  5|  1|  1|  9|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  9-
 C|  4|  1|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  7|  1|  8|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  8-
 1|  4|  7|  8|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  1|  1|  1|  6|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  9-
 P|  4|  4|  4|  1|  4|  7|  7|  1|  1|  4|  4|  1|  1|  1|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  M|  7-
 1|  2|  1|  4|  1|  1|  4|  7|  6|  2|  1|  1|  8|  1|  9|  1|  1|  1|  0|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  5-
 C|  4|  1|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  3|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  6-
 1|  2|  1|  4|  1|  1|  4|  7|  6|  2|  1|  1|  8|  1|  9|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  1-
 R|  4|  1|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  3|  1|  1|  1|  2|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  2-
 1|  2|  1|  4|  1|  1|  4|  7|  6|  2|  1|  1|  8|  1|  9|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  3-
 1|  4|  1|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  3|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  4-
 1|  2|  1|  4|  1|  1|  4|  7|  6|  2|  1|  1|  8|  1|  9|  1|  1|  1|  9|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  5-
11| 12| 13|  4|  1|  4|  1|  4|  1|  1|  4|  1|  1|  1|  3|  1|  1|  1|  6|  1|  1|  1|  1|  8|  7|  1|  1|  3|  1|  6-
 0|  0|  0|  4|  1|  4|  7|  7|  1|  1|  4|  4|  1|  1|  1|  3|  1|  9|  1|  6|  1|  1|  1|  1|  8|  7|  1|  3|  1|  7
